ngram,freq_fg,relfreq_fg,freq_bg,relfreq_bg,phrase,inform,score
city government,1,8.333333333,1,0.756834333,0.870247626,0.199906203,1.070153828
nag kalat,1,5.263157895,0,0.000667768,0.595561385,0.472226374,1.067787759
nag vlog,1,5.263157895,0,0.000667768,0.595561385,0.472226374,1.067787759
like lazaro,1,5.263157895,0,0.000697605,0.595561385,0.469925714,1.065487099
like drowning,1,5.263157895,0,0.000697605,0.595561385,0.469925714,1.065487099
like rich,1,5.263157895,0,0.000697605,0.595561385,0.469925714,1.065487099
nga sec,1,5.263157895,0,0.00079011,0.595561385,0.463372054,1.058933439
nga pangontra,1,5.263157895,0,0.00079011,0.595561385,0.463372054,1.058933439
tapos sbe,1,5.263157895,0,0.000801498,0.595561385,0.462618889,1.058180275
tapos south,1,5.263157895,0,0.000801498,0.595561385,0.462618889,1.058180275
vitamins expose,1,5.263157895,0,0.000866927,0.595561385,0.458488804,1.05405019
possible infection,1,8.333333333,2,3.878223331,0.985772156,0.063740533,1.049512689
nyo yan,1,5.882352941,0,0.000747351,0.519415729,0.527701937,1.047117665
nag hoard,1,5.263157895,0,0.000667768,0.574221116,0.472226374,1.046447491
city manila,1,8.333333333,3,2.437506602,0.943203354,0.102440659,1.045644013
like plastic,1,5.263157895,0,0.000697605,0.574221116,0.469925714,1.04414683
natin hukluban,1,5,0,0.000663387,0.595311346,0.446379465,1.041690811
natin sabihan,1,5,0,0.000663387,0.595311346,0.446379465,1.041690811
natin napakainit,1,5,0,0.000663387,0.595311346,0.446379465,1.041690811
natin nagnanaknak,1,5,0,0.000663387,0.595311346,0.446379465,1.041690811
natin pangmalakasan,1,5,0,0.000663387,0.595311346,0.446379465,1.041690811
natin lokohan,1,5,0,0.000663387,0.595311346,0.446379465,1.041690811
cases tau,1,5,0,0.000331902,0.560653987,0.48100551,1.041659497
infected virus,2,11.76470588,9,10.98813595,1.03123869,0.008033868,1.039272559
tapos according,1,5.263157895,0,0.000801498,0.574221116,0.462618889,1.036840006
tapos kainin,1,5.263157895,0,0.000801498,0.574221116,0.462618889,1.036840006
dont know,3,10.71428571,16,11.95537609,1.046458432,-0.011743189,1.034715244
vitamins president,1,5.263157895,0,0.000866927,0.574221116,0.458488804,1.032709921
vitamins simula,1,5.263157895,0,0.000866927,0.574221116,0.458488804,1.032709921
still covid,1,10,1,0.968534288,0.793122911,0.233455649,1.026578559
tapos gawin,1,5.263157895,0,0.000801498,0.559079955,0.462618889,1.021698844
tapos tubig,1,5.263157895,0,0.000801498,0.559079955,0.462618889,1.021698844
cases gone,1,5,0,0.000331902,0.540380731,0.48100551,1.021386241
nag joke,1,5.263157895,0,0.000667768,0.547335557,0.472226374,1.019561931
vitamins supplements,1,5.263157895,0,0.000866927,0.559079955,0.458488804,1.017568759
vitamins fruits,1,5.263157895,0,0.000866927,0.559079955,0.458488804,1.017568759
vitamins panlaban,1,5.263157895,0,0.000866927,0.559079955,0.458488804,1.017568759
like flu,1,5.263157895,0,0.000697605,0.547335557,0.469925714,1.017261271
like normal,1,5.263157895,0,0.000697605,0.547335557,0.469925714,1.017261271
philippines coronavirus,1,5.882352941,0,0.000561138,0.465516274,0.544558851,1.010075125
natin iboost,1,5,0,0.000663387,0.560653987,0.446379465,1.007033452
vitamins food,1,5.263157895,0,0.000866927,0.547335557,0.458488804,1.005824362
baka carrier,1,7.692307692,1,1.915668318,0.897629266,0.106934944,1.00456421
baka ibang,1,7.692307692,1,1.915668318,0.897629266,0.106934944,1.00456421
spread faster,1,6.666666667,1,0.517634984,0.83210607,0.170373662,1.002479733
hands clean,3,8.823529412,1,2.647747265,0.895749108,0.106209949,1.001959058
nga madaming,1,5.263157895,0,0.00079011,0.537739686,0.463372054,1.001111739
nga lugar,1,5.263157895,0,0.00079011,0.537739686,0.463372054,1.001111739
daw alcohol,1,5.882352941,0,0.000705296,0.469574678,0.531108785,1.000683464
tapos araw,1,5.263157895,0,0.000801498,0.537739686,0.462618889,1.000358575
system eat,2,5.555555556,0,0.000661602,0.496605228,0.501980269,0.998585497
death rate,1,7.692307692,3,3.22255936,0.928818889,0.066926535,0.995745424
nga parang,1,5.263157895,0,0.00079011,0.529626492,0.463372054,0.992998546
natin papatay,1,5,0,0.000663387,0.540380731,0.446379465,0.986760196
positive coronavirus,1,11.11111111,24,15.32081291,1.020639354,-0.035696291,0.984943064
know whats,1,7.692307692,4,3.861986979,0.928818889,0.053003001,0.981821891
infected ncov,2,11.76470588,6,7.284432243,0.922706775,0.056395826,0.979102601
tapos last,1,5.263157895,0,0.000801498,0.516399417,0.462618889,0.979018306
like keep,1,5.263157895,0,0.000697605,0.493145062,0.469925714,0.963070775
always ncov,1,5.882352941,0,0.000665316,0.420580024,0.534541498,0.955121522
think good,1,7.692307692,1,1.837477774,0.844310252,0.110140536,0.954450788
natin agad,1,5,0,0.000663387,0.505723372,0.446379465,0.952102837
philippines covid,1,5.882352941,0,0.000561138,0.404116036,0.544558851,0.948674887
vitamins please,1,5.263157895,0,0.000866927,0.489513858,0.458488804,0.948002662
china town,1,4.545454545,0,0.000549303,0.532527571,0.410044936,0.942572507
china kinain,1,4.545454545,0,0.000549303,0.532527571,0.410044936,0.942572507
china 1st,1,4.545454545,0,0.000549303,0.532527571,0.410044936,0.942572507
china stonewall,1,4.545454545,0,0.000549303,0.532527571,0.410044936,0.942572507
china locsin,1,4.545454545,0,0.000549303,0.532527571,0.410044936,0.942572507
china imported,1,4.545454545,0,0.000549303,0.532527571,0.410044936,0.942572507
china kinakain,1,4.545454545,0,0.000549303,0.532527571,0.410044936,0.942572507
china dinala,1,4.545454545,0,0.000549303,0.532527571,0.410044936,0.942572507
china admit,1,4.545454545,0,0.000549303,0.532527571,0.410044936,0.942572507
nga natin,1,5.263157895,0,0.00079011,0.474372696,0.463372054,0.93774475
time big,1,6.666666667,1,0.720644993,0.785896258,0.148315242,0.9342115
sakit nakoo,1,4.545454545,0,0.000751337,0.532527571,0.395808393,0.928335964
sakit hayy,1,4.545454545,0,0.000751337,0.532527571,0.395808393,0.928335964
sakit feb,1,4.545454545,0,0.000751337,0.532527571,0.395808393,0.928335964
sakit selling,1,4.545454545,0,0.000751337,0.532527571,0.395808393,0.928335964
sakit ultimo,1,4.545454545,0,0.000751337,0.532527571,0.395808393,0.928335964
sakit kakahilata,1,4.545454545,0,0.000751337,0.532527571,0.395808393,0.928335964
natin sure,1,5,0,0.000663387,0.475416582,0.446379465,0.921796047
please masyadong,1,6.666666667,1,0.612722592,0.758865251,0.159130865,0.917996116
natin drink,1,5,0,0.000663387,0.471066013,0.446379465,0.917445478
nga yan,1,5.263157895,0,0.00079011,0.453032427,0.463372054,0.916404481
china totoong,1,4.545454545,0,0.000549303,0.501020881,0.410044936,0.911065817
cases people,1,5,0,0.000331902,0.426946554,0.48100551,0.907952064
nakakatakot kasi,1,9.090909091,2,7.91728074,0.894891307,0.012566101,0.907457407
